"Protein","Protein Description"
"tr|A0A1Q9E7X2|A0A1Q9E7X2_SYMMI","Guanine nucleotide-binding protein-like 3-like protein OS=Symbiodinium microadriaticum OX=2951 GN=Gnl3l PE=4 SV=1"
"tr|A0A1Q9CDN9|A0A1Q9CDN9_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene38483 PE=4 SV=1"
"tr|A0A1Q9F0N2|A0A1Q9F0N2_SYMMI","Kinase D-interacting substrate of 220 kDa OS=Symbiodinium microadriaticum OX=2951 GN=KIDINS220 PE=4 SV=1"
"tr|A0A1Q9E200|A0A1Q9E200_SYMMI","Aminomethyltransferase, mitochondrial OS=Symbiodinium microadriaticum OX=2951 GN=GDCST PE=4 SV=1"
"tr|A0A1Q9CL40|A0A1Q9CL40_SYMMI","Multicopper oxidase mco OS=Symbiodinium microadriaticum OX=2951 GN=mco PE=3 SV=1"
"tr|A0A1Q9D850|A0A1Q9D850_SYMMI","Glyceraldehyde-3-phosphate dehydrogenase 1 OS=Symbiodinium microadriaticum OX=2951 GN=gapA PE=3 SV=1"
"tr|A0A1Q9D9Z5|A0A1Q9D9Z5_SYMMI","Calcium-dependent protein kinase 3 OS=Symbiodinium microadriaticum OX=2951 GN=CPK3 PE=4 SV=1"
"tr|A0A1Q9C520|A0A1Q9C520_SYMMI","Fucoxanthin-chlorophyll a-c binding protein A, chloroplastic OS=Symbiodinium microadriaticum OX=2951 GN=FCPA PE=4 SV=1"
"tr|A0A1Q9CQI5|A0A1Q9CQI5_SYMMI","Nucleolar GTP-binding protein 1 OS=Symbiodinium microadriaticum OX=2951 GN=GTPBP4 PE=4 SV=1"
"tr|A0A1Q9EAF2|A0A1Q9EAF2_SYMMI","Proteasome endopeptidase complex OS=Symbiodinium microadriaticum OX=2951 GN=PAB1 PE=3 SV=1"
"tr|A0A1Q9DIE8|A0A1Q9DIE8_SYMMI","Glutaredoxin-related protein 5, mitochondrial OS=Symbiodinium microadriaticum OX=2951 GN=GLRX5 PE=4 SV=1"
"tr|A0A060BJC5|A0A060BJC5_9DINO","Superoxide dismutase [Fe] (Fragment) OS=Symbiodinium sp. B1 OX=503418 GN=MnSOD PE=2 SV=1"
"tr|A0A1Q9C7M4|A0A1Q9C7M4_SYMMI","Valyl-tRNA synthetase OS=Symbiodinium microadriaticum OX=2951 GN=Vars PE=4 SV=1"
"tr|A0A1Q9D8Q1|A0A1Q9D8Q1_SYMMI","Protochlorophyllide reductase OS=Symbiodinium microadriaticum OX=2951 GN=PORA PE=3 SV=1"
"tr|A0A1Q9C976|A0A1Q9C976_SYMMI","Fibrocystin-L OS=Symbiodinium microadriaticum OX=2951 GN=PKHD1L1 PE=4 SV=1"
"tr|A0A1Q9ENS0|A0A1Q9ENS0_SYMMI","NAD(P)(+)--arginine ADP-ribosyltransferase OS=Symbiodinium microadriaticum OX=2951 GN=lpcat1 PE=3 SV=1"
"tr|A0A1Q9EA60|A0A1Q9EA60_SYMMI","Serine/threonine-protein kinase mph1 OS=Symbiodinium microadriaticum OX=2951 GN=mph1 PE=3 SV=1"
"tr|A0A1Q9EBY1|A0A1Q9EBY1_SYMMI","26S protease regulatory subunit 6A OS=Symbiodinium microadriaticum OX=2951 GN=PSMC3 PE=3 SV=1"
"tr|A0A1Q9EN55|A0A1Q9EN55_SYMMI","Ankyrin repeat and SAM domain-containing protein 1A OS=Symbiodinium microadriaticum OX=2951 GN=ANKS1A PE=4 SV=1"
"tr|A0A1Q9E1L9|A0A1Q9E1L9_SYMMI","Ribosome biogenesis protein NOP53 OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene15949 PE=3 SV=1"
"tr|A0A1Q9DAF5|A0A1Q9DAF5_SYMMI","50S ribosomal protein L12, chloroplastic OS=Symbiodinium microadriaticum OX=2951 GN=rpl12 PE=3 SV=1"
"tr|A0A1Q9C327|A0A1Q9C327_SYMMI","Ankyrin repeat domain-containing protein 50 OS=Symbiodinium microadriaticum OX=2951 GN=ANKRD50 PE=4 SV=1"
"tr|A0A1Q9DIM2|A0A1Q9DIM2_SYMMI","Long chain acyl-CoA synthetase 7, peroxisomal OS=Symbiodinium microadriaticum OX=2951 GN=LACS7 PE=3 SV=1"
"tr|A0A1Q9CLM5|A0A1Q9CLM5_SYMMI","Protein NLRC3 OS=Symbiodinium microadriaticum OX=2951 GN=NLRC3 PE=4 SV=1"
"tr|A0A1Q9CXV9|A0A1Q9CXV9_SYMMI","Retrovirus-related Pol polyprotein from transposon TNT 1-94 OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene31000 PE=4 SV=1"
"tr|A0A1Q9E0X4|A0A1Q9E0X4_SYMMI","1,4-beta-D-glucan cellobiohydrolase B OS=Symbiodinium microadriaticum OX=2951 GN=cbhB PE=3 SV=1"
"tr|A0A1Q9C7H6|A0A1Q9C7H6_SYMMI","116 kDa U5 small nuclear ribonucleoprotein component OS=Symbiodinium microadriaticum OX=2951 GN=EFTUD2 PE=3 SV=1"
"tr|A0A1Q9DPL1|A0A1Q9DPL1_SYMMI","Putative Xaa-Pro aminopeptidase P OS=Symbiodinium microadriaticum OX=2951 GN=AMPP PE=3 SV=1"
"tr|A0A1Q9EHT8|A0A1Q9EHT8_SYMMI","Nicotinamide-nucleotide adenylyltransferase 1 OS=Symbiodinium microadriaticum OX=2951 GN=NMA1 PE=4 SV=1"
"tr|A0A1Q9CF41|A0A1Q9CF41_SYMMI","Vesicle-fusing ATPase OS=Symbiodinium microadriaticum OX=2951 GN=NSF PE=4 SV=1"
"tr|A0A1Q9CWV8|A0A1Q9CWV8_SYMMI","Glycerophosphocholine acyltransferase 1 OS=Symbiodinium microadriaticum OX=2951 GN=SPBC776.05 PE=3 SV=1"
"tr|A0A1Q9DM97|A0A1Q9DM97_SYMMI","Sterol 26-hydroxylase, mitochondrial OS=Symbiodinium microadriaticum OX=2951 GN=CYP27A1 PE=3 SV=1"
"tr|A0A1Q9C995|A0A1Q9C995_SYMMI","Multidrug resistance-associated protein 1 OS=Symbiodinium microadriaticum OX=2951 GN=ABCC1 PE=4 SV=1"
"tr|A0A1Q9C0C1|A0A1Q9C0C1_SYMMI","60 kDa chaperonin 1 (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=groL1 PE=3 SV=1"
"tr|A0A1Q9CGE4|A0A1Q9CGE4_SYMMI","Adenylate kinase B OS=Symbiodinium microadriaticum OX=2951 GN=ADK-B PE=3 SV=1"
"tr|A0A1Q9C072|A0A1Q9C072_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene43818 PE=4 SV=1"
"tr|A0A1Q9DMR2|A0A1Q9DMR2_SYMMI","Kinesin-like calmodulin-binding protein OS=Symbiodinium microadriaticum OX=2951 GN=KCBP PE=3 SV=1"
"tr|A0A1Q9DV24|A0A1Q9DV24_SYMMI","Thermostable beta-glucosidase B OS=Symbiodinium microadriaticum OX=2951 GN=bglB PE=3 SV=1"
"tr|A0A1Q9EPR2|A0A1Q9EPR2_SYMMI","Voltage-dependent calcium channel type A subunit alpha-1 OS=Symbiodinium microadriaticum OX=2951 GN=CAC PE=4 SV=1"
"tr|G9I8Q8|G9I8Q8_SYMMI","Chloroplast soluble peridinin-chlorophyll a-binding protein OS=Symbiodinium microadriaticum OX=2951 GN=sPCP PE=4 SV=1"
"tr|A0A1Q9CQV2|A0A1Q9CQV2_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene33712 PE=4 SV=1"
"tr|A0A1Q9E845|A0A1Q9E845_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene13431 PE=4 SV=1"
"tr|A0A1Q9C7Q3|A0A1Q9C7Q3_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene40871 PE=4 SV=1"
"tr|A0A1Q9F6P6|A0A1Q9F6P6_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene361 PE=4 SV=1"
"tr|A0A1Q9DP57|A0A1Q9DP57_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene20759 PE=4 SV=1"
"tr|A0A1Q9D220|A0A1Q9D220_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene29308 PE=4 SV=1"
"tr|A0A1Q9DYU7|A0A1Q9DYU7_SYMMI","UBX domain-containing protein 6 OS=Symbiodinium microadriaticum OX=2951 GN=UBXN6 PE=4 SV=1"
"tr|A0A1Q9BPX8|A0A1Q9BPX8_SYMMI","Uncharacterized protein (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene48312 PE=4 SV=1"
"tr|A0A1Q9DVU0|A0A1Q9DVU0_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene18143 PE=4 SV=1"
"tr|A0A1Q9DHS7|A0A1Q9DHS7_SYMMI","Exoglucanase-6A OS=Symbiodinium microadriaticum OX=2951 GN=cel6A PE=4 SV=1"
"tr|A0A1Q9CLD5|A0A1Q9CLD5_SYMMI","Sodium channel protein type 11 subunit alpha OS=Symbiodinium microadriaticum OX=2951 GN=Scn11a PE=4 SV=1"
"tr|A0A1Q9F5V5|A0A1Q9F5V5_SYMMI","Rhomboid domain-containing protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene733 PE=4 SV=1"
"tr|A0A1Q9ERZ6|A0A1Q9ERZ6_SYMMI","DNA-directed RNA polymerase subunit OS=Symbiodinium microadriaticum OX=2951 GN=polr2a PE=3 SV=1"
"tr|A0A1Q9EPK1|A0A1Q9EPK1_SYMMI","Glyceraldehyde-3-phosphate dehydrogenase, glycosomal OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene7059 PE=3 SV=1"
"tr|A0A1Q9DPP2|A0A1Q9DPP2_SYMMI","9 kDa polypeptide OS=Symbiodinium microadriaticum OX=2951 GN=psaC PE=3 SV=1"
"tr|A0A1Q9DYU8|A0A1Q9DYU8_SYMMI","4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase, chloroplastic OS=Symbiodinium microadriaticum OX=2951 GN=ISPG PE=3 SV=1"
"tr|A0A1Q9EU06|A0A1Q9EU06_SYMMI","Putative alcohol dehydrogenase OS=Symbiodinium microadriaticum OX=2951 GN=yiaY PE=4 SV=1"
"tr|A0A1Q9C8W6|A0A1Q9C8W6_SYMMI","Phosphopyruvate hydratase OS=Symbiodinium microadriaticum OX=2951 GN=ENO2 PE=4 SV=1"
"tr|A0A1Q9CJN3|A0A1Q9CJN3_SYMMI","Nitrite reductase [NAD(P)H] large subunit OS=Symbiodinium microadriaticum OX=2951 GN=nasB PE=3 SV=1"
"tr|A0A1Q9DLI0|A0A1Q9DLI0_SYMMI","Dihydroorotate dehydrogenase (Quinone), mitochondrial OS=Symbiodinium microadriaticum OX=2951 GN=Dhodh PE=4 SV=1"
"tr|A0A1Q9EP54|A0A1Q9EP54_SYMMI","Citrulline--aspartate ligase OS=Symbiodinium microadriaticum OX=2951 GN=argG PE=4 SV=1"
"tr|A0A1Q9EIQ2|A0A1Q9EIQ2_SYMMI","Retrovirus-related Pol polyprotein from transposon TNT 1-94 OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene9293 PE=4 SV=1"
"tr|A0A1Q9DXZ3|A0A1Q9DXZ3_SYMMI","Potassium voltage-gated channel subfamily H member 6 OS=Symbiodinium microadriaticum OX=2951 GN=KCNH6 PE=4 SV=1"
"tr|A0A1Q9DGC0|A0A1Q9DGC0_SYMMI","Peptidylprolyl isomerase OS=Symbiodinium microadriaticum OX=2951 GN=FKBP65 PE=4 SV=1"
"tr|A0A1Q9CQQ6|A0A1Q9CQQ6_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene33815 PE=3 SV=1"
"tr|A0A1Q9CR81|A0A1Q9CR81_SYMMI","CRAL-TRIO domain-containing protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene33600 PE=4 SV=1"
"tr|A0A1Q9F5R5|A0A1Q9F5R5_SYMMI","Reticulocyte-binding protein 2-like a OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene824 PE=4 SV=1"
"tr|A0A1Q9DR28|A0A1Q9DR28_SYMMI","Cytochrome b-c1 complex subunit Rieske, mitochondrial OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene20018 PE=4 SV=1"
"tr|A0A1Q9DV54|A0A1Q9DV54_SYMMI","Serine/threonine-protein kinase nrc-2 OS=Symbiodinium microadriaticum OX=2951 GN=nrc-2 PE=4 SV=1"
"tr|A0A1Q9CH75|A0A1Q9CH75_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene37089 PE=4 SV=1"
"tr|A0A1Q9C2B8|A0A1Q9C2B8_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene42927 PE=4 SV=1"
"tr|A0A1Q9EZT9|A0A1Q9EZT9_SYMMI","Copia protein OS=Symbiodinium microadriaticum OX=2951 GN=GIP PE=4 SV=1"
"tr|A0A1Q9EV94|A0A1Q9EV94_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene4883 PE=4 SV=1"
"tr|A0A1Q9CIB7|A0A1Q9CIB7_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene36657 PE=4 SV=1"
"tr|A0A1Q9F7I2|A0A1Q9F7I2_SYMMI","Unconventional myosin-XVI OS=Symbiodinium microadriaticum OX=2951 GN=Myo16 PE=4 SV=1"
"tr|A0A1Q9DHT4|A0A1Q9DHT4_SYMMI","Serine/threonine-protein kinase Nek1 OS=Symbiodinium microadriaticum OX=2951 GN=NEK1 PE=4 SV=1"
"tr|A0A1Q9CKW1|A0A1Q9CKW1_SYMMI","Long-chain-fatty-acid--CoA ligase OS=Symbiodinium microadriaticum OX=2951 GN=lcfA PE=4 SV=1"
"tr|A0A1Q9DV42|A0A1Q9DV42_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene18448 PE=4 SV=1"
"tr|A0A1Q9EQY9|A0A1Q9EQY9_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene6503 PE=4 SV=1"
"tr|A0A1Q9EGX0|A0A1Q9EGX0_SYMMI","Calcium-dependent protein kinase 2 OS=Symbiodinium microadriaticum OX=2951 GN=CPK2 PE=4 SV=1"
"tr|A0A1Q9EBD6|A0A1Q9EBD6_SYMMI","Ammonium transporter 2 OS=Symbiodinium microadriaticum OX=2951 GN=amtB PE=4 SV=1"
"tr|A0A1Q9DEA8|A0A1Q9DEA8_SYMMI","Malate dehydrogenase OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene24564 PE=3 SV=1"
"tr|A0A1Q9EV03|A0A1Q9EV03_SYMMI","Quinone-oxidoreductase-like, chloroplastic OS=Symbiodinium microadriaticum OX=2951 GN=QOR PE=4 SV=1"
"tr|A0A1Q9EG78|A0A1Q9EG78_SYMMI","Putative calmodulin-like protein 6 OS=Symbiodinium microadriaticum OX=2951 GN=CML6 PE=4 SV=1"
"tr|A0A1Q9C4K3|A0A1Q9C4K3_SYMMI","Brefeldin A-inhibited guanine nucleotide-exchange protein 2 OS=Symbiodinium microadriaticum OX=2951 GN=ARFGEF2 PE=4 SV=1"
"tr|A0A1Q9EGL8|A0A1Q9EGL8_SYMMI","Voltage-dependent N-type calcium channel subunit alpha-1B OS=Symbiodinium microadriaticum OX=2951 GN=CACNA1B PE=4 SV=1"
"tr|A0A1Q9F1Q8|A0A1Q9F1Q8_SYMMI","Sulfate adenylyltransferase OS=Symbiodinium microadriaticum OX=2951 GN=MET3 PE=4 SV=1"
"tr|A0A1Q9DYJ8|A0A1Q9DYJ8_SYMMI","Chaperone protein DnaK OS=Symbiodinium microadriaticum OX=2951 GN=dnaK PE=3 SV=1"
"tr|A0A1Q9CZJ5|A0A1Q9CZJ5_SYMMI","Tyrosine--tRNA ligase OS=Symbiodinium microadriaticum OX=2951 GN=YARS PE=3 SV=1"
"tr|A0A1Q9CJK1|A0A1Q9CJK1_SYMMI","Chaperone protein dnaK2 (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=dnaK2 PE=4 SV=1"
"tr|A0A1Q9CD35|A0A1Q9CD35_SYMMI","J domain-containing protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene38674 PE=4 SV=1"
"tr|A0A1Q9CMG6|A0A1Q9CMG6_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene35030 PE=4 SV=1"
"tr|A0A1Q9DN25|A0A1Q9DN25_SYMMI","CHASE domain-containing protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene21167 PE=4 SV=1"
"tr|A0A1Q9E9N2|A0A1Q9E9N2_SYMMI","40S ribosomal protein S3-3 OS=Symbiodinium microadriaticum OX=2951 GN=RPS3C PE=3 SV=1"
"tr|A0A1Q9CPA5|A0A1Q9CPA5_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene34369 PE=4 SV=1"
"tr|A0A1Q9CA25|A0A1Q9CA25_SYMMI","Peptidyl-prolyl cis-trans isomerase CYP19-4 OS=Symbiodinium microadriaticum OX=2951 GN=CYP19-4 PE=4 SV=1"
"tr|A0A1Q9BWM0|A0A1Q9BWM0_SYMMI","Uncharacterized protein (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene45164 PE=4 SV=1"
"tr|A0A1Q9CS16|A0A1Q9CS16_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene33274 PE=4 SV=1"
"tr|A0A1Q9CLE7|A0A1Q9CLE7_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene35448 PE=4 SV=1"
"tr|A0A1Q9EVI0|A0A1Q9EVI0_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene4747 PE=4 SV=1"
"tr|A0A1Q9CS78|A0A1Q9CS78_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene33187 PE=4 SV=1"
"tr|A0A1Q9EEB0|A0A1Q9EEB0_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene11025 PE=4 SV=1"
"tr|A0A1Q9CR05|A0A1Q9CR05_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene33658 PE=4 SV=1"
"tr|A0A1Q9EE95|A0A1Q9EE95_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene11040 PE=4 SV=1"
"tr|A0A1Q9E763|A0A1Q9E763_SYMMI","Ribonuclease P protein subunit p25-like protein OS=Symbiodinium microadriaticum OX=2951 GN=RPP25L PE=4 SV=1"
"tr|A0A1Q9D5F4|A0A1Q9D5F4_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene27975 PE=4 SV=1"
"tr|A0A1Q9DSN9|A0A1Q9DSN9_SYMMI","Ankyrin repeat domain-containing protein 29 OS=Symbiodinium microadriaticum OX=2951 GN=ankrd29 PE=4 SV=1"
"tr|A0A1Q9DS33|A0A1Q9DS33_SYMMI","cAMP-dependent protein kinase regulatory subunit OS=Symbiodinium microadriaticum OX=2951 GN=PKAR PE=4 SV=1"
"tr|A0A1Q9CAB7|A0A1Q9CAB7_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene39783 PE=4 SV=1"
"tr|A0A1Q9C5F4|A0A1Q9C5F4_SYMMI","D-3-phosphoglycerate dehydrogenase OS=Symbiodinium microadriaticum OX=2951 GN=serA PE=3 SV=1"
"tr|A0A1Q9DE18|A0A1Q9DE18_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene24708 PE=4 SV=1"
"tr|A0A1Q9E5R7|A0A1Q9E5R7_SYMMI","Cysteine synthase OS=Symbiodinium microadriaticum OX=2951 GN=cysK PE=4 SV=1"
"tr|A0A1Q9EAR6|A0A1Q9EAR6_SYMMI","5'-nucleotidase OS=Symbiodinium microadriaticum OX=2951 GN=nutA PE=4 SV=1"
"tr|A0A1Q9DV44|A0A1Q9DV44_SYMMI","Chloroplast stem-loop binding protein of 41 kDa b, chloroplastic OS=Symbiodinium microadriaticum OX=2951 GN=CSP41B PE=4 SV=1"
"tr|A0A1Q9DGX7|A0A1Q9DGX7_SYMMI","Dihydroxy-acid dehydratase OS=Symbiodinium microadriaticum OX=2951 GN=ilvD PE=3 SV=1"
"tr|A0A1Q9DP90|A0A1Q9DP90_SYMMI","Cyclic nucleotide-gated cation channel alpha-4 OS=Symbiodinium microadriaticum OX=2951 GN=Cnga4 PE=4 SV=1"
"tr|A0A1Q9CE07|A0A1Q9CE07_SYMMI","AP-4 complex subunit epsilon OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene38304 PE=3 SV=1"
"tr|A0A1Q9DNB1|A0A1Q9DNB1_SYMMI","Pyruvate, phosphate dikinase OS=Symbiodinium microadriaticum OX=2951 GN=ppdK PE=3 SV=1"
"tr|A0A1Q9EPM1|A0A1Q9EPM1_SYMMI","Isocitrate lyase OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene7049 PE=3 SV=1"
"tr|A0A1Q9CRY5|A0A1Q9CRY5_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene33297 PE=4 SV=1"
"tr|A0A1Q9C0I8|A0A1Q9C0I8_SYMMI","Alpha-ketoglutarate-dependent dioxygenase alkB-like 3 OS=Symbiodinium microadriaticum OX=2951 GN=ALKBH3 PE=4 SV=1"
"tr|A0A1Q9CS99|A0A1Q9CS99_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene33181 PE=4 SV=1"
"tr|A0A1Q9BZD4|A0A1Q9BZD4_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene44099 PE=4 SV=1"
"tr|A0A1Q9DMM7|A0A1Q9DMM7_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene21352 PE=4 SV=1"
"tr|A0A1Q9E0J7|A0A1Q9E0J7_SYMMI","RNase H domain-containing protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene16369 PE=4 SV=1"
"tr|A0A1Q9CVT4|A0A1Q9CVT4_SYMMI","Mitochondrial phosphate carrier protein OS=Symbiodinium microadriaticum OX=2951 GN=MIR1 PE=3 SV=1"
"tr|A0A1Q9EGH1|A0A1Q9EGH1_SYMMI","Sodium channel protein 60E OS=Symbiodinium microadriaticum OX=2951 GN=NaCP60E PE=4 SV=1"
"tr|A0A1Q9CYN2|A0A1Q9CYN2_SYMMI","Nitric oxide synthase-interacting protein OS=Symbiodinium microadriaticum OX=2951 GN=nosip PE=4 SV=1"
"tr|A0A1Q9DCL1|A0A1Q9DCL1_SYMMI","60S ribosomal protein L23a OS=Symbiodinium microadriaticum OX=2951 GN=Rpl23a PE=3 SV=1"
"tr|A0A1Q9D6Y6|A0A1Q9D6Y6_SYMMI","Cyclin-dependent kinases regulatory subunit OS=Symbiodinium microadriaticum OX=2951 GN=FCPB PE=3 SV=1"
"tr|A0A1Q9CED7|A0A1Q9CED7_SYMMI","Ribosomal RNA small subunit methyltransferase F OS=Symbiodinium microadriaticum OX=2951 GN=rsmF PE=3 SV=1"
"tr|A0A1Q9F4Y9|A0A1Q9F4Y9_SYMMI","Putative 149 kDa protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene1180 PE=4 SV=1"
"tr|A0A1Q9CBK9|A0A1Q9CBK9_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene39408 PE=4 SV=1"
"tr|A0A1Q9CUA9|A0A1Q9CUA9_SYMMI","Spondin-1 OS=Symbiodinium microadriaticum OX=2951 GN=SPON1 PE=4 SV=1"
"tr|A0A1Q9BVB1|A0A1Q9BVB1_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene45896 PE=4 SV=1"
"tr|A0A1Q9C7S1|A0A1Q9C7S1_SYMMI","Pentatricopeptide repeat-containing protein, chloroplastic OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene40788 PE=4 SV=1"
"tr|A0A1Q9DXJ9|A0A1Q9DXJ9_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene17496 PE=4 SV=1"
"tr|A0A1Q9DCT3|A0A1Q9DCT3_SYMMI","Copia protein OS=Symbiodinium microadriaticum OX=2951 GN=GIP PE=4 SV=1"
"tr|A0A1Q9EPF4|A0A1Q9EPF4_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene7081 PE=4 SV=1"
"tr|A0A1Q9E6L3|A0A1Q9E6L3_SYMMI","ABC1 domain-containing protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene14001 PE=4 SV=1"
"tr|A0A1Q9D0P6|A0A1Q9D0P6_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene29865 PE=4 SV=1"
"tr|A0A1Q9EJN1|A0A1Q9EJN1_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene9001 PE=4 SV=1"
"tr|A0A1Q9CL55|A0A1Q9CL55_SYMMI","FHA domain-containing protein (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene35633 PE=4 SV=1"
"tr|A0A1Q9DH00|A0A1Q9DH00_SYMMI","Aflatoxin B1 aldehyde reductase member 4 OS=Symbiodinium microadriaticum OX=2951 GN=AKR7L PE=4 SV=1"
"tr|A0A1Q9BT89|A0A1Q9BT89_SYMMI","Pentatricopeptide repeat-containing protein, mitochondrial (Fragment) OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene46729 PE=4 SV=1"
"tr|A0A1Q9CTW2|A0A1Q9CTW2_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene32524 PE=4 SV=1"
"tr|A0A1Q9CP84|A0A1Q9CP84_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene34395 PE=4 SV=1"
"tr|A0A1Q9E4K0|A0A1Q9E4K0_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene14795 PE=4 SV=1"
"tr|A0A1Q9DNI9|A0A1Q9DNI9_SYMMI","D-3-phosphoglycerate dehydrogenase OS=Symbiodinium microadriaticum OX=2951 GN=serA PE=3 SV=1"
"tr|A0A1Q9CLN7|A0A1Q9CLN7_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene35410 PE=4 SV=1"
"tr|A0A1Q9C1U8|A0A1Q9C1U8_SYMMI","Uncharacterized protein OS=Symbiodinium microadriaticum OX=2951 GN=AK812_SmicGene43104 PE=4 SV=1"
